SL NO,From Date,PM2.5,PM10,NO,NO2,Nox,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,WS,WD,SR,BP,AT,RF
1,18-02-2019 00:00,58.04,81.06,1.81,6.4,9.66,27.18,13.77,0.49,15.73,0.92,None,0.33,1.86,229.44,0.22,1002.19,20.87,0
2,18-02-2019 01:00,60,82.39,1.91,6.08,9.7,26.46,13.64,0.44,18.36,0.84,None,0.29,1.54,217.2,1.46,956,18.92,0.24
3,18-02-2019 02:00,55.5,73.42,2.22,6.71,10.86,27.06,13.64,0.44,34.54,0.77,None,0.23,0.66,197.21,None,1001.6,18.33,0
4,18-02-2019 03:00,66.56,96.04,2.79,7,12.1,26.34,13.72,0.45,31.85,0.82,None,0.21,0.61,206.44,None,1001.41,17.63,0
5,18-02-2019 04:00,67.08,97.21,3.29,9.45,15.53,25.16,13.8,0.47,24.07,0.74,None,0.22,0.54,230.53,None,980.67,16.61,0
6,18-02-2019 05:00,71.25,102.73,4.57,15.17,23.77,24.37,14.12,0.5,22.03,0.8,0.05,0.38,0.3,171,None,1002.29,16.91,0
7,18-02-2019 06:00,83.58,107.31,23.18,23.42,63.13,24.6,14.68,0.64,15.09,1.81,None,0.59,0.66,115.02,20.5,1003.36,17.41,0
8,18-02-2019 07:00,95.88,138.21,4.97,10.55,19.52,24.16,14.4,0.45,35.9,1.03,None,0.32,1.8,92.9,140.55,962.85,17.21,0.48
9,18-02-2019 08:00,47.27,77.27,2.92,9.18,14.71,24.67,14.85,0.45,34.63,0.7,None,0.11,0.95,197.08,180.45,1006,18.98,0
10,18-02-2019 09:00,61.29,90,2.23,8.93,13.23,25.2,14.42,0.49,19.65,0.86,None,0.3,1.61,242.24,316.56,1006.54,19.75,0
11,18-02-2019 10:00,76.19,127.46,2.16,10.48,14.75,23.74,14.07,0.52,17.1,0.93,None,0.35,1.46,225.86,513.27,1006.05,21.18,0
12,18-02-2019 11:00,84.48,125.04,2.65,10.46,15.63,20.67,14.16,0.46,36.76,0.9,None,0.26,1.75,114.47,469.3,845.32,17.54,0
13,18-02-2019 12:00,57.98,99.83,1.43,8.02,10.96,22.8,15.21,0.42,52.73,0.79,None,0.17,1.31,134.76,580.58,1003.92,22.07,0
14,18-02-2019 13:00,56.88,87.28,3.91,18.45,26.17,22.3,15.37,0.41,53.87,0.76,None,0.15,1.16,122.3,345.95,1002.73,22.59,0
15,18-02-2019 14:00,53.88,80.23,2.15,13.92,18.6,21.74,15.46,0.44,54.13,0.72,None,0.17,1.73,81.37,239.75,1002.07,21.96,0
16,18-02-2019 15:00,51,74.08,3.67,14.29,21.31,22.21,15.66,0.45,58.96,0.75,None,0.2,1.77,112.79,112.73,1001.77,21.41,0
17,18-02-2019 16:00,42.92,73.67,1.89,11.58,15.5,22.32,14.9,0.45,56.55,0.83,None,0.26,1.27,65.91,3.47,1002.12,19.48,0
18,18-02-2019 17:00,39.07,56.12,2.96,16.35,22.33,23.64,14.72,0.53,42.17,0.92,None,0.27,1.16,103.54,0.89,983.3,18.18,0
19,18-02-2019 18:00,41.28,60.12,3.17,13.34,19.54,22.28,14.99,0.56,39.32,1.03,None,0.38,0.79,110.2,None,1003.05,18.42,0
20,18-02-2019 19:00,49.05,65.45,4.25,11.02,18.73,22.49,14.88,0.6,29.59,1.23,None,0.4,0.94,135.56,5,986.08,17.64,0.21
21,18-02-2019 20:00,50.58,71.44,4,9.04,16.21,21.13,14.44,0.43,32.49,0.88,None,0.29,1.09,115.51,None,1004.73,17.18,0
22,18-02-2019 21:00,29,42.02,2.2,6.96,11.06,19.43,14.4,0.37,36.1,0.58,None,0.17,1.52,102.44,None,1005.44,16.25,0
23,18-02-2019 22:00,27.73,36.98,2.06,5.96,9.75,19.29,14.28,0.34,34.46,0.5,None,0.13,1.01,102.98,None,1005.73,16.03,0
24,18-02-2019 23:00,21,29,3.52,9.58,15.35,18.8,14.2,0.31,37.14,0.53,None,0.13,1.18,88.7,None,1005.73,16.1,0
25,19-02-2019 00:00,22.98,31.11,2.7,5.97,11.08,19.48,14.12,0.3,36.19,0.46,None,0.05,1.34,90.14,5.53,946.36,15.05,0.41
26,19-02-2019 01:00,22.06,35.92,3.02,5.5,10.83,19.91,13.86,0.3,35.59,0.49,None,None,0.95,109.11,None,983.76,15.46,0
27,19-02-2019 02:00,25.08,31.56,2.2,5.28,9.22,20.01,13.81,0.29,32.95,0.45,None,None,0.94,106.48,None,1004.08,15.86,0
28,19-02-2019 03:00,29.08,42.89,2.37,4.71,8.98,20.13,13.96,0.29,33.67,0.47,None,None,1.14,99.76,None,1004.25,15.89,0
29,19-02-2019 04:00,33,37.27,2.33,5.09,9.26,18.54,13.84,0.29,33.29,0.41,None,None,0.92,135.05,None,1004.56,15.73,0
30,19-02-2019 05:00,29.18,35.64,2.06,5.39,9.2,17.63,14.11,0.32,31.88,0.42,None,0.09,0.84,114.77,None,1005.2,15.83,0
31,19-02-2019 06:00,34,42.62,5.05,7.59,16.36,17.73,14.18,0.38,31.66,0.68,None,0.11,0.95,121.27,5.14,1006.25,15.9,0
32,19-02-2019 07:00,48.08,54.34,4.2,9.41,16.95,17.62,14.34,0.42,36.51,0.8,0.03,0.17,1.11,109.17,43.7,1007.39,16.08,0
33,19-02-2019 08:00,50.38,62.14,3.83,9.23,16.17,17.68,14.44,0.46,34.33,0.9,None,0.22,0.84,124.28,54.28,987.41,16.32,2
34,19-02-2019 09:00,59.12,74.38,4.96,10.43,19.4,19.34,15.43,0.52,34.03,1.05,None,0.22,1.36,98.96,86.71,969.99,16.57,0.45
35,19-02-2019 10:00,64.83,89.98,3.59,8.28,14.79,18.68,16.5,0.47,34.64,1.04,None,0.2,0.8,114.05,181.43,1008.89,18.04,0
36,19-02-2019 11:00,56.31,75.96,2.37,9.93,14.53,17.48,17.31,0.46,39.16,0.98,None,0.22,0.99,102.58,321.24,1008.15,19.94,0
37,19-02-2019 12:00,64.05,79.3,1.74,9.42,13.01,16.7,16.17,0.46,44.67,0.92,None,0.21,1.2,171.93,380.18,1007.02,20.97,0
38,19-02-2019 13:00,66.11,88.8,1.46,7.71,10.63,16.9,18.52,0.42,64.47,0.84,None,0.13,0.76,115.78,390.96,1005.62,22.51,0
39,19-02-2019 14:00,68.97,83.17,1.62,9.67,12.95,17.64,20.95,0.44,74.9,0.83,None,0.17,1.44,97.96,300.11,982.02,21.72,0.26
40,19-02-2019 15:00,67.93,89.09,1.58,12.15,15.66,17.09,22.83,0.47,71.47,0.9,None,0.23,1.32,88.26,162.99,1004.53,22.21,0
41,19-02-2019 16:00,65.18,91.48,2.62,13.57,18.83,17.41,17.6,0.52,66.38,1.06,None,0.24,1.37,85.73,40.34,1005.03,20.68,0
42,19-02-2019 17:00,70.47,95.84,2.94,17.33,23.45,21.7,17.08,0.62,54.97,1.37,None,0.34,1.16,92.6,3.46,1005.62,19.81,0
43,19-02-2019 18:00,94,124.75,4.43,15.04,23.37,23.25,21.09,1,26.29,1.71,None,0.5,0.36,177.49,None,1006.53,19.45,0
44,19-02-2019 19:00,126.25,156.39,4.38,9.84,17.67,21.37,18.46,0.9,36.48,2.06,None,0.61,0.37,158.61,None,1007.29,19.03,0
45,19-02-2019 20:00,106.11,136.63,5.21,17.57,27.29,21.85,18.12,1.1,23.06,2.18,None,0.67,0.49,152.7,None,1007.99,18.58,0
46,19-02-2019 21:00,108.92,144.09,5.11,14.73,24.21,22.17,17.14,1.08,25.83,2.53,None,0.88,0.88,107.66,None,1008.48,18.09,0
47,19-02-2019 22:00,104.11,140.59,2.42,8.07,12.71,18.02,16,0.39,48.95,1.02,None,0.31,2.87,86,0.83,972.58,17.05,0
48,19-02-2019 23:00,32,61,1.66,6.23,9.52,17.33,15.58,0.3,56.98,0.47,None,0.08,1.81,88.23,None,1008.84,17.09,0
49,20-02-2019 00:00,24.11,74.86,1.89,10.26,12.65,16.78,16.09,0.31,48.54,0.59,None,None,1.37,95.35,None,1008.53,16.36,0
50,20-02-2019 01:00,28.96,67.52,1.6,5.67,8.67,16.56,15.66,0.3,49.45,0.55,None,None,1.26,116.62,5.38,988.68,15.83,0.22
51,20-02-2019 02:00,28,67.52,2.75,5.21,10.04,19.61,15.55,0.3,42.58,0.58,None,None,0.59,152.08,None,1007.63,16.21,0
52,20-02-2019 03:00,27.98,42,2.18,5.2,9.13,18.96,15.37,0.29,47.5,0.56,None,None,0.95,102.28,None,1007.45,15.9,0
53,20-02-2019 04:00,27.16,33.46,1.98,5.19,8.83,18.3,15.11,0.29,47.14,0.47,None,None,0.98,132.85,None,1007.63,15.7,0
54,20-02-2019 05:00,35.32,40.06,2.26,7.67,11.88,17.87,15.43,0.33,39.38,0.59,None,None,0.99,97.46,None,1008.47,15.86,0
55,20-02-2019 06:00,42.43,57.59,3.2,8.21,14.12,14.92,17.79,0.42,31.95,0.91,None,0.09,0.85,112.76,3.83,1009.41,16.06,0
56,20-02-2019 07:00,60.86,79.67,3.14,8.29,13.99,14.73,17.83,0.45,34.92,1.14,None,0.12,0.89,111.51,22.18,1010.21,16.31,0
57,20-02-2019 08:00,54.23,73.39,3.3,10.91,17.17,15.25,20.06,0.52,34.19,1.17,None,0.21,0.97,103.52,50.03,1010.94,16.82,0
58,20-02-2019 09:00,65.19,90.31,3.6,11.96,18.66,16.38,20.82,0.52,40.91,1.11,None,0.29,1.08,98.88,77.11,1011.08,17.2,0
59,20-02-2019 10:00,70.04,92.77,2.84,11.28,16.71,17.78,19.44,0.6,39.87,1.2,None,0.31,1.63,93.22,118.11,1010.97,17.34,0
60,20-02-2019 11:00,71.19,106.91,2.25,9.99,14.37,18.88,22.04,0.56,46.89,1.29,None,0.32,1.89,95.83,201.92,1010.17,18.07,0
61,20-02-2019 12:00,75.81,106.69,2.03,11.17,15.31,19.69,21.35,0.52,56.43,1.06,None,0.25,1.82,98.5,256.66,1009.12,19.2,0
62,20-02-2019 13:00,66.19,96.61,2.52,12.78,17.77,18.7,19.38,0.56,58.45,1.12,None,0.31,2.04,109.33,261.88,989.05,19.45,0.22
63,20-02-2019 14:00,70.93,113.47,1.48,12.84,16.22,15.69,27.93,0.45,64.93,1.02,None,0.29,2.27,99.05,321.36,1008.18,20.51,0
64,20-02-2019 15:00,68.77,175.44,2.15,13.29,17.8,14.27,32.84,0.47,52.61,0.76,None,0.35,None,None,None,None,None,0
65,20-02-2019 16:00,63.02,154.69,1.93,9.6,13.39,15.4,21.28,0.49,44.3,0.88,None,0.28,None,None,None,None,None,0
66,20-02-2019 17:00,64.83,104.57,2.26,13.08,17.76,13.34,18.91,0.66,43.88,1.17,None,0.39,None,None,None,None,None,0
67,20-02-2019 18:00,84.71,122.48,4.84,24.92,34.71,14.73,18.92,0.93,22.35,1.81,None,0.56,None,None,None,None,None,0
68,20-02-2019 19:00,99.08,156.04,2.85,22.43,28.72,17.31,60.99,0.61,52,1.51,None,0.62,None,None,None,None,None,0
69,20-02-2019 20:00,55.31,107.81,9.21,30.09,47.35,16.71,140.84,0.77,26.05,1.31,None,0.47,None,None,None,None,None,0
70,20-02-2019 21:00,68.29,113.73,4.63,15.75,24.46,17.16,38.07,0.63,45.74,1.3,None,0.48,None,None,None,None,None,0
71,20-02-2019 22:00,50.25,77.96,2.61,9.11,13.97,13.99,22.29,0.4,50.85,0.89,None,0.22,None,None,None,None,None,0
72,20-02-2019 23:00,33,52,2.75,11.93,16.54,12.73,20.75,0.38,45.32,0.63,None,0.16,None,None,None,None,None,0
73,21-02-2019 00:00,41.83,70.39,2.96,8.39,13.53,13.09,23.81,0.35,43.39,0.79,None,0.08,None,None,None,None,None,0
74,21-02-2019 01:00,33.89,63.63,1.65,5.53,8.62,12.93,20.7,0.29,52.19,0.57,None,0.03,None,None,None,None,None,0
75,21-02-2019 02:00,28.88,32.81,2.16,5.59,9.53,14.17,18.98,0.31,45.78,0.54,None,None,None,None,None,None,None,0
76,21-02-2019 03:00,26.57,37.05,3.77,7.21,13.95,16.15,20.44,0.36,24.84,0.71,None,0.12,None,None,None,None,None,0
77,21-02-2019 04:00,41.16,59.81,4.27,6.39,13.86,16.62,19.84,0.41,23.4,0.86,None,0.19,None,None,None,None,None,0
78,21-02-2019 05:00,41.19,54.59,4.7,5.73,13.74,18.48,17.58,0.63,15.78,1.01,None,0.23,None,None,None,None,None,0
79,21-02-2019 06:00,71.11,89.36,9.58,9.36,25.83,18.9,17.24,0.69,14.19,1.41,None,0.39,None,None,None,None,None,0
80,21-02-2019 07:00,74.5,105.42,12.45,13.07,34.63,18.09,27.87,0.59,19.61,1.72,None,0.57,None,None,None,None,None,0
81,21-02-2019 08:00,66.81,101.16,10.2,10.99,28.52,18.54,79.55,0.53,32.91,1.16,None,0.27,None,None,None,None,None,0
82,21-02-2019 09:00,61.87,84.29,3.65,9.08,15.63,18.67,34.36,0.5,53.16,0.98,None,0.21,None,None,None,None,None,0
83,21-02-2019 10:00,55,81.41,3.98,11.08,18.43,19.3,31.68,0.52,55.97,0.98,None,0.19,None,None,None,None,None,0
84,21-02-2019 11:00,65.92,93.1,1.45,8.88,12,24.27,29.19,0.5,69.37,0.98,None,0.23,None,None,None,None,None,0
85,21-02-2019 12:00,61.75,87.34,1.46,9.69,12.81,21.24,19.24,0.48,86.07,0.94,None,0.22,None,None,None,None,None,0
86,21-02-2019 13:00,49.03,96.95,1.13,9.18,11.74,16.96,18.19,0.48,88.38,0.95,None,0.2,1.51,76.87,117.04,935.82,16.96,0.21
87,21-02-2019 14:00,49.92,94.71,2.03,12.29,16.49,15.96,18.14,0.46,87.63,0.84,None,0.21,1.99,85.12,0.89,988.04,25.09,0
88,21-02-2019 15:00,45.5,80,0.98,11.39,13.8,12.79,30,0.44,93.85,0.81,None,0.28,2.41,96.94,None,1006.61,24.76,0
89,21-02-2019 16:00,44.39,78.86,1.7,12.22,15.87,12.69,26.21,0.51,82.77,0.81,0.03,0.46,1.8,101.49,5,988.4,23.55,0.21
90,21-02-2019 17:00,56.09,97.98,6.34,14.6,26.16,14.31,26.05,1.21,49.27,1.41,None,0.67,0.58,91.61,None,1006.86,22.31,0
91,21-02-2019 18:00,114.84,196.12,36.65,32.6,95.18,18,34.06,3.13,14.18,6.39,None,4.86,0.61,95.68,6.28,968.78,19.87,0.22
92,21-02-2019 19:00,260.1,438.48,53.25,35.39,125.37,22.01,25.89,3.42,13.31,7.53,None,3.48,0.58,97.88,0.83,990.22,19.26,0
93,21-02-2019 20:00,263.81,440.13,58.44,31.88,130.14,21.67,22.41,3.1,12.47,8.35,None,3.5,0.41,110.19,None,1008.46,18.94,0
94,21-02-2019 21:00,203.58,331.37,70.25,23.46,140.5,21.76,20.35,3.81,15.32,8.21,None,3.78,0.34,109.27,None,1008.45,18.02,0
95,21-02-2019 22:00,217.14,351.45,81.03,21.22,155.75,21.81,18.98,3.06,12.28,6.51,None,3.14,0.41,120.62,None,1008.15,17.45,0
96,21-02-2019 23:00,194,327,90.17,17.3,167.22,19.88,18.35,2.17,12.71,6.36,None,2.68,0.65,122.06,None,1007.56,17.15,0
97,22-02-2019 00:00,179.62,369.76,105.03,15.73,189.45,21.84,17.84,1.78,13.46,5.22,None,2.49,0.36,176.8,None,1007.31,16.47,0
98,22-02-2019 01:00,156.73,290.71,112.5,14.43,200.13,22.84,17.09,1.72,11.54,5.36,None,2.24,0.76,197.27,5.38,987.54,15.87,0.22
99,22-02-2019 02:00,149.67,261.53,114.62,13.64,202.8,24.39,16.67,1.25,13.17,4.39,None,2.01,0.46,145.08,None,1006.35,15.79,0
100,22-02-2019 03:00,133.56,244.88,113.68,13.05,200.7,28.5,16.38,1.04,11.61,3.52,None,1.39,0.34,185.71,None,1006.13,15.41,0
101,22-02-2019 04:00,112.96,204,109.02,12.15,191.95,28.26,16.04,0.97,11.96,3.27,None,1.32,0.45,166.05,None,1006.15,15.14,0
102,22-02-2019 05:00,111.46,190.83,107.56,11.61,189,27.92,16.24,1,12.95,3.97,None,1.84,0.45,147.98,None,1006.34,14.94,0
103,22-02-2019 06:00,123,233,106.54,11.28,187.04,26.02,15.85,1.22,13.16,4.16,None,1.64,0.71,135.32,0.15,1007.1,15.22,0
104,22-02-2019 07:00,143.12,245.48,98.22,10.98,172.99,23.07,15.88,1.12,13.53,4.17,None,1.32,0.36,226.62,None,1007.7,17.37,0
105,22-02-2019 08:00,148.75,208.91,73.94,15.02,135.88,24.19,48.15,1.01,23.3,2.94,None,1,0.47,192.22,None,1008.1,20.59,0
106,22-02-2019 09:00,147.8,205.68,48.63,16.65,97.54,24.99,41.95,0.97,41.55,1.98,None,0.64,0.73,134.89,None,1007.89,23.11,0.04
107,22-02-2019 10:00,139.41,188.69,19.76,25.09,59.15,26.42,38.22,0.87,44.92,1.86,None,0.69,1.12,165.17,None,1007.08,24.53,0
108,22-02-2019 11:00,108.27,158.23,3.09,20.98,27.51,29.05,42.98,0.69,62.13,1.69,None,0.62,1.68,126.69,None,1005.72,25.38,0
109,22-02-2019 12:00,90,128,6.79,28.63,41.74,26.03,30.74,0.64,65.36,1.19,None,0.32,1.69,90.27,None,1004.06,26.29,0
110,22-02-2019 13:00,91.71,135.58,1.8,16.98,21.2,22.69,24.17,0.57,84.27,1.14,None,0.27,1.44,120.88,0.08,1002.93,27.39,0
111,22-02-2019 14:00,76.29,113.46,1.55,12.65,16.13,20.83,20.14,0.52,76.99,0.92,None,0.27,0.93,156.38,None,1001.88,28.12,0
112,22-02-2019 15:00,67.09,100.17,1.63,13,16.69,16.9,19.4,0.57,87.9,0.88,None,0.26,1.28,95.14,None,1001.27,27.25,0
113,22-02-2019 16:00,72,106.91,2.35,19.98,25.2,17.98,19.73,0.7,79.02,0.97,None,0.4,0.82,99.19,None,1001.39,26.33,0
114,22-02-2019 17:00,83.92,143.36,4.7,36.11,46.33,18.65,21.91,1.39,33.1,2.16,None,1.24,0.49,133.2,0.89,982.64,24.96,0
115,22-02-2019 18:00,134.54,261.88,20.68,39.77,76.52,19.13,23.69,2.62,12.9,3.95,None,2.5,0.48,120.78,None,1002.42,22.68,0
116,22-02-2019 19:00,213.61,422.39,38.85,41.95,108.73,24.14,26.77,3.23,10.44,6.96,0.03,4.39,0.4,132.49,None,1003.25,22.09,0
117,22-02-2019 20:00,256.58,485.75,48.99,40.26,123.65,24.37,23.59,3.25,12.29,7.77,0.13,5.12,0.52,107.15,None,1003.6,21.55,0
118,22-02-2019 21:00,236.91,418.75,87.6,44.35,191.44,25.17,22.72,3.54,11.33,9,None,4.08,0.53,109.18,None,1003.77,21.15,0
119,22-02-2019 22:00,232.27,408.92,88.34,33.38,180.83,26.05,21.19,3.7,13.02,9.49,None,4.2,0.38,161.74,None,1003.81,20.62,0
120,22-02-2019 23:00,239,432,89.92,21.13,170.76,21.82,18.8,3.56,13,8.64,None,4.13,0.82,120.94,6.36,980.72,19.35,0.27
121,23-02-2019 00:00,213.19,391.17,98.92,23.97,187.72,22.78,18.26,1.72,11.62,6.42,None,2.58,0.62,94.56,None,1002.87,19.18,0
122,23-02-2019 01:00,171.44,333.08,95.85,16.58,175.25,23.6,17.12,1.32,12.92,5.2,None,1.75,0.46,112.11,None,1002.58,18.69,0
123,23-02-2019 02:00,142.75,240.82,98.62,16.15,179.21,24.65,17.11,1.26,11.3,5.17,None,1.8,0.39,147.31,0.84,984.21,17.82,0
124,23-02-2019 03:00,135.57,219.11,101.83,15.91,184.26,30.63,17.1,1.11,12.32,4.76,None,1.73,0.38,226.19,None,1001.88,17.73,0
125,23-02-2019 04:00,123.77,195.31,103.84,21.62,193.73,30.16,16.69,0.91,12.12,4.02,None,1.57,0.6,95.99,None,1001.92,17.43,0
126,23-02-2019 05:00,118.14,206.21,114.06,19.22,207.85,29.71,16.73,0.93,12.21,4.01,None,1.57,0.46,122.43,None,1002.38,17.09,0
127,23-02-2019 06:00,126.12,213.46,120.07,17.34,215.69,29.41,16.75,1.22,12.46,5.46,None,1.97,0.32,137.66,5.38,983.85,16.91,0.22
128,23-02-2019 07:00,182.58,293.35,116.94,14.02,206.97,24.63,16.25,1.25,13.11,5.26,None,1.83,0.46,214.86,None,1003.82,19.2,0
129,23-02-2019 08:00,162.25,246.46,81.25,21.8,156.59,25.23,28.32,1.14,23.67,2.8,None,0.84,0.81,127.82,None,1004.23,22.15,0
130,23-02-2019 09:00,165.71,239.58,29.66,23.73,74.26,26.63,67,0.92,42.67,2.53,None,0.7,1.53,83.82,None,1004.09,22.66,0
131,23-02-2019 10:00,150.83,207.63,21.62,17.16,53.26,25.88,45.36,0.82,50.56,1.95,None,0.38,1.45,125.46,None,1003.43,24.03,0
132,23-02-2019 11:00,142,185.37,9.79,13.65,30.76,26.05,33.78,0.71,68.29,1.71,None,0.38,1.81,89.67,None,1002.55,25.33,0
133,23-02-2019 12:00,114.64,160.22,3.35,13.12,19.63,26.53,26.58,0.64,78.33,1.44,None,0.26,1.55,108.93,None,1001.33,26.56,0
134,23-02-2019 13:00,95.78,142.48,2.02,13.71,18.04,23.99,22.87,0.63,74.91,1.37,None,0.27,1.98,100.61,None,1000.15,26.75,0
135,23-02-2019 14:00,89.69,143.91,2.15,15.95,20.61,22.25,20.98,0.54,83.04,1.15,None,0.22,2.14,90.53,None,999.4,26.82,0
136,23-02-2019 15:00,73.91,130.29,2.27,17.3,22.16,23.67,20.2,0.52,80.63,1.02,0.09,0.37,1.9,86.44,None,999.25,26.73,0
137,23-02-2019 16:00,69,123.2,3.04,26.88,33.7,19.76,18.57,0.56,67.73,0.96,0.04,0.26,1.85,89.31,None,999.51,25.6,0
138,23-02-2019 17:00,69.43,136.16,5.13,33.63,44.42,17.07,22.32,0.76,50.8,1.38,None,0.42,1.45,86.26,None,999.8,24.42,0
139,23-02-2019 18:00,81.75,179,5.23,23.98,34.29,16.88,56.34,1.14,35.23,3.17,None,0.82,0.71,137.68,5.38,981.18,22.9,0.22
140,23-02-2019 19:00,121.11,205.83,11.75,26.51,47.7,17.27,30.33,2.01,13.71,4.2,None,1.41,1.2,135.5,5.19,964.09,20.99,0.43
141,23-02-2019 20:00,177.37,295.46,38.05,35.07,100.05,19.75,19.86,1.97,11.83,4.84,None,1.69,0.79,122.64,None,1001.63,20.7,0
142,23-02-2019 21:00,143.73,208.52,12.63,18.8,40.73,22.54,21.85,0.86,33.46,3.81,None,1.36,1.95,99.91,12.82,956.53,19.65,0.53
143,23-02-2019 22:00,88.46,150.06,5.51,11.04,20.81,21.85,25.81,0.56,42.71,1.2,0.04,0.32,2.16,96.57,None,1002.91,20.09,0
144,23-02-2019 23:00,61,103,5.42,15.44,26.36,21.73,27.33,0.46,35.87,0.99,None,0.23,0.98,101.06,None,1002.77,19.43,0
145,24-02-2019 00:00,54.94,78.92,6.93,12.12,26.01,19.38,23.87,0.42,25.82,0.91,None,0.19,1.03,88.38,None,1002.33,18.88,0
146,24-02-2019 01:00,52.08,75.19,9.27,9.72,25.56,18.09,21.15,0.45,16,0.99,None,0.4,0.53,109.99,None,1001.62,18.16,0
147,24-02-2019 02:00,54.16,78.73,13.21,8.58,30.88,18.45,19.11,0.47,13.4,0.86,0.08,0.31,0.3,149.22,None,1001.07,17.65,0
148,24-02-2019 03:00,57.94,86.92,13.64,7.92,30.85,19.03,18.19,0.45,18.94,1.03,None,0.45,0.58,90.42,None,979.97,17.18,0
149,24-02-2019 04:00,54.78,80.87,13,6.52,28.37,22.72,17.67,0.4,19.02,0.75,None,0.14,0.46,139.91,None,1001.25,17.13,0
150,24-02-2019 05:00,49,68,17.18,8.32,37.45,25.8,16.88,0.54,12.55,0.96,None,0.27,0.29,180.42,None,1001.94,16.59,0
151,24-02-2019 06:00,80.52,90.23,32.17,9.04,62.34,27.48,17.4,0.9,12.78,2.26,None,0.66,0.58,110.43,None,1002.93,16.88,0
152,24-02-2019 07:00,106.66,149.62,29.47,12.61,61.84,27.78,17.77,0.67,20.34,2.98,None,0.78,1.06,83.09,5.38,984.41,18.77,0.22
153,24-02-2019 08:00,89.17,128.25,27.5,12.05,58.05,27.82,25.1,0.66,26.91,1.56,None,0.41,0.76,193.59,None,1004.29,21.84,0
154,24-02-2019 09:00,97.25,157.18,20.07,14.18,48.12,27.61,19.04,0.63,15.73,1.77,None,0.65,2.22,257.58,None,1004.39,22.92,0
155,24-02-2019 10:00,77.03,158.27,6.29,15.36,26.68,21.43,15.82,0.59,17.47,1.64,None,0.67,2.12,250.63,None,1003.8,24.14,0
156,24-02-2019 11:00,77.92,164.46,3.07,11.35,17.21,21.86,16.32,0.54,25.71,1.36,None,0.52,1.77,215.43,None,1002.78,25.72,0
157,24-02-2019 12:00,73.98,147.98,2.12,9.04,13.17,22.3,16.4,0.52,28.43,1.28,None,0.47,1.71,240.91,None,1001.61,26.79,0
158,24-02-2019 13:00,73,142.21,1.65,7.85,11.09,22.18,15.95,0.48,31.68,0.95,None,0.37,2.27,249.29,5.83,979.53,27.08,0.24
159,24-02-2019 14:00,59,128.48,1.5,7.71,10.74,25.33,15.32,0.49,19.5,1,None,0.39,2.62,258.74,None,999.5,27.4,0
160,24-02-2019 15:00,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
161,24-02-2019 16:00,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
162,24-02-2019 17:00,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
163,24-02-2019 18:00,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
164,24-02-2019 19:00,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
165,24-02-2019 20:00,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
166,24-02-2019 21:00,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
167,24-02-2019 22:00,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
168,24-02-2019 23:00,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
169,25-02-2019 00:00,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
170,25-02-2019 01:00,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
171,25-02-2019 02:00,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
172,25-02-2019 03:00,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
173,25-02-2019 04:00,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
174,25-02-2019 05:00,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
175,25-02-2019 06:00,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
176,25-02-2019 07:00,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
177,25-02-2019 08:00,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
178,25-02-2019 09:00,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
179,25-02-2019 10:00,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
180,25-02-2019 11:00,120.5,147.75,21.97,16.38,53.79,22,22.88,0.91,18.05,1.54,None,0.55,1.28,267,None,1003.07,25.1,0
181,25-02-2019 12:00,101.23,164.19,5.58,14.21,24.31,23.1,20.46,0.76,36.85,1.7,None,0.65,1.39,207.44,5.46,983.33,25.34,0.22
182,25-02-2019 13:00,64.73,125.02,1.8,12.13,15.96,25.74,17.64,0.69,24.33,1.55,None,0.58,1.88,193.78,346.45,955.96,20.83,0
183,25-02-2019 14:00,51.81,121.56,1.43,10.58,13.71,29.87,15.78,0.48,21.28,1.05,None,0.35,2.39,212.87,473.23,1000.56,22.7,0
184,25-02-2019 15:00,43.93,98.28,1.46,10.08,13.15,27.77,14.93,0.43,17.21,0.8,None,0.26,1.75,220.62,None,999.96,23.58,0
